Ancient Apparition, Weaver, -2.18%
Ancient Apparition, Lone Druid, -2.34%
Ancient Apparition, Phantom Lancer, -2.36%
Ancient Apparition, Naga Siren, -2.40%
Ancient Apparition, Arc Warden, -2.50%
Ancient Apparition, Brewmaster, -2.62%
Ancient Apparition, Storm Spirit, -2.72%
Ancient Apparition, Clinkz, -3.83%
Ancient Apparition, Broodmother, -3.86%
Ancient Apparition, Anti-Mage, -4.94%
Anti-Mage, Zeus, 6.17%
Anti-Mage, Clockwerk, 6.04%
Anti-Mage, Spectre, 5.57%
Anti-Mage, Ancient Apparition, 4.94%
Anti-Mage, Abaddon, 4.56%
Anti-Mage, Medusa, 4.14%
Anti-Mage, Wraith King, 3.71%
Anti-Mage, Storm Spirit, 3.39%
Anti-Mage, Techies, 3.26%
Anti-Mage, Undying, 3.26%
Anti-Mage, Underlord, 3.22%
Anti-Mage, Tinker, 2.99%
Anti-Mage, Phoenix, 2.99%
Anti-Mage, Venomancer, 2.94%
Anti-Mage, Brewmaster, 2.65%
Anti-Mage, Bristleback, 2.61%
Anti-Mage, Winter Wyvern, 2.51%
Anti-Mage, Elder Titan, 2.36%
Anti-Mage, Necrophos, 2.26%
Anti-Mage, Tidehunter, 2.22%
Anti-Mage, Lich, 2.17%
Anti-Mage, Phantom Lancer, 2.01%
Anti-Mage, Chaos Knight, 1.73%
Anti-Mage, Arc Warden, 1.70%
Anti-Mage, Bounty Hunter, 1.69%
Anti-Mage, Slark, 1.68%
Anti-Mage, Juggernaut, 1.59%
Anti-Mage, Pudge, 1.56%
Anti-Mage, Dark Seer, 1.55%
Anti-Mage, Skywrath Mage, 1.35%
Anti-Mage, Vengeful Spirit, 1.22%
Anti-Mage, Razor, 1.21%
Anti-Mage, Pugna, 1.21%
Anti-Mage, Sniper, 1.20%
Anti-Mage, Dark Willow, 1.14%
Anti-Mage, Morphling, 1.13%
Anti-Mage, Weaver, 0.99%
Anti-Mage, Nyx Assassin, 0.97%
Anti-Mage, Warlock, 0.94%
Anti-Mage, Ogre Magi, 0.88%
Anti-Mage, Omniknight, 0.83%
Anti-Mage, Centaur Warrunner, 0.80%
Anti-Mage, Treant Protector, 0.77%
Anti-Mage, Pangolier, 0.74%
Anti-Mage, Viper, 0.70%
Anti-Mage, Jakiro, 0.66%
Anti-Mage, Silencer, 0.52%
Anti-Mage, Doom, 0.52%
Anti-Mage, Sand King, 0.43%
Anti-Mage, Dragon Knight, 0.39%
Anti-Mage, Faceless Void, 0.37%
Anti-Mage, Enigma, 0.18%
Anti-Mage, Witch Doctor, 0.15%
Anti-Mage, Keeper of the Light, 0.13%
Anti-Mage, Tusk, 0.11%
Anti-Mage, Mirana, 0.10%
Anti-Mage, Night Stalker, 0.09%
Anti-Mage, Invoker, 0.06%
Anti-Mage, Lifestealer, -0.15%
Anti-Mage, Gyrocopter, -0.17%
Anti-Mage, Batrider, -0.18%
Anti-Mage, Death Prophet, -0.19%
Anti-Mage, Naga Siren, -0.24%
Anti-Mage, Visage, -0.39%
Anti-Mage, Oracle, -0.39%
Anti-Mage, Shadow Fiend, -0.40%
Anti-Mage, Riki, -0.54%
Anti-Mage, Spirit Breaker, -0.56%
Anti-Mage, Ursa, -0.57%
Anti-Mage, Leshrac, -0.61%
Anti-Mage, Dazzle, -0.65%
Anti-Mage, Rubick, -0.67%
Anti-Mage, Ember Spirit, -0.68%
Anti-Mage, Luna, -0.68%
Anti-Mage, Shadow Demon, -0.83%
Anti-Mage, Disruptor, -0.84%
Anti-Mage, Shadow Shaman, -0.86%
Anti-Mage, Crystal Maiden, -0.90%
Anti-Mage, Queen of Pain, -0.93%
Anti-Mage, Windranger, -0.95%
Anti-Mage, Lion, -1.05%
Anti-Mage, Puck, -1.07%
Anti-Mage, Lycan, -1.07%
Anti-Mage, Bane, -1.08%
Anti-Mage, Earthshaker, -1.12%
Anti-Mage, Nature's Prophet, -1.14%
Anti-Mage, Kunkka, -1.22%
Anti-Mage, Earth Spirit, -1.27%
Anti-Mage, Magnus, -1.35%
Anti-Mage, Timbersaw, -1.36%
Anti-Mage, Beastmaster, -1.37%
Anti-Mage, Terrorblade, -1.47%
Anti-Mage, Sven, -1.49%
Anti-Mage, Enchantress, -1.49%
Anti-Mage, Bloodseeker, -1.84%
Anti-Mage, Drow Ranger, -1.87%
Anti-Mage, Clinkz, -1.89%
Anti-Mage, Chen, -1.92%
Anti-Mage, Lina, -2.02%
Anti-Mage, Huskar, -2.07%
Anti-Mage, Axe, -2.21%
Anti-Mage, Tiny, -2.24%
Anti-Mage, Slardar, -2.36%
Anti-Mage, Templar Assassin, -2.72%
Anti-Mage, Troll Warlord, -2.84%
Anti-Mage, Broodmother, -2.87%
Anti-Mage, Outworld Devourer, -2.97%
Anti-Mage, Legion Commander, -3.21%
Anti-Mage, Phantom Assassin, -3.24%
Anti-Mage, Alchemist, -3.47%
Anti-Mage, Monkey King, -3.93%
Anti-Mage, Io, -4.01%
Anti-Mage, Lone Druid, -4.04%
Anti-Mage, Meepo, -7.98%
Arc Warden, Venomancer, 3.69%
Arc Warden, Razor, 3.55%
Arc Warden, Silencer, 3.09%
Arc Warden, Undying, 3.09%
Arc Warden, Viper, 3.01%
Arc Warden, Outworld Devourer, 2.73%
Arc Warden, Elder Titan, 2.72%
Arc Warden, Brewmaster, 2.71%
Arc Warden, Shadow Fiend, 2.70%
Arc Warden, Medusa, 2.61%
Arc Warden, Techies, 2.53%
Arc Warden, Ancient Apparition, 2.31%
Arc Warden, Disruptor, 2.23%
Arc Warden, Templar Assassin, 2.17%
Arc Warden, Sniper, 1.93%
Arc Warden, Terrorblade, 1.79%
Arc Warden, Lion, 1.60%
Arc Warden, Underlord, 1.53%
Arc Warden, Winter Wyvern, 1.50%
Arc Warden, Clockwerk, 1.48%
Arc Warden, Gyrocopter, 1.42%
Arc Warden, Phoenix, 1.38%
Arc Warden, Drow Ranger, 1.25%
Arc Warden, Doom, 1.15%
Arc Warden, Shadow Shaman, 1.15%
Arc Warden, Enigma, 1.10%
Arc Warden, Vengeful Spirit, 1.06%
Arc Warden, Tiny, 1.01%
Arc Warden, Necrophos, 0.94%
Arc Warden, Mirana, 0.93%
Arc Warden, Troll Warlord, 0.90%
Arc Warden, Death Prophet, 0.89%
Arc Warden, Pugna, 0.88%
Arc Warden, Luna, 0.85%
Arc Warden, Windranger, 0.83%
Arc Warden, Enchantress, 0.75%
Arc Warden, Keeper of the Light, 0.75%
Arc Warden, Skywrath Mage, 0.68%
Arc Warden, Bane, 0.68%
Arc Warden, Rubick, 0.66%
Arc Warden, Beastmaster, 0.59%
Arc Warden, Leshrac, 0.53%
Arc Warden, Nyx Assassin, 0.53%
Arc Warden, Slardar, 0.52%
Arc Warden, Ursa, 0.44%
Arc Warden, Dragon Knight, 0.39%
Arc Warden, Shadow Demon, 0.38%
Arc Warden, Jakiro, 0.37%
Arc Warden, Treant Protector, 0.35%
Arc Warden, Ember Spirit, 0.34%
Arc Warden, Witch Doctor, 0.30%
Arc Warden, Monkey King, 0.30%
Arc Warden, Dark Willow, 0.23%
Arc Warden, Earthshaker, 0.17%
Arc Warden, Lone Druid, 0.17%
Arc Warden, Omniknight, 0.10%
Arc Warden, Queen of Pain, 0.07%
Arc Warden, Tinker, 0.07%
Arc Warden, Ogre Magi, 0.05%
Arc Warden, Clinkz, 0.04%
Arc Warden, Crystal Maiden, -0.01%
Arc Warden, Pangolier, -0.03%
Arc Warden, Sven, -0.04%
Arc Warden, Kunkka, -0.04%
Arc Warden, Invoker, -0.09%
Arc Warden, Weaver, -0.10%
Arc Warden, Sand King, -0.12%
Arc Warden, Dazzle, -0.14%
Arc Warden, Night Stalker, -0.15%
Arc Warden, Zeus, -0.18%
Arc Warden, Earth Spirit, -0.24%
Arc Warden, Axe, -0.36%
Arc Warden, Spectre, -0.39%
Arc Warden, Lina, -0.40%
Arc Warden, Puck, -0.46%
